========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 1426 words (Chuẩn: 16 + 256 + 1152 + 2 = 1426)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 56   | Hex: 0000FF24 | Flt: 2  Ch: 8  | (No Threshold)                | W_9b: 100100100
Addr 57   | Hex: 0000FF80 | Flt: 2  Ch: 9  | (No Threshold)                | W_9b: 110000000
Addr 58   | Hex: 0000FE68 | Flt: 2  Ch: 10 | (No Threshold)                | W_9b: 001101000
Addr 59   | Hex: 0000FE4C | Flt: 2  Ch: 11 | (No Threshold)                | W_9b: 001001100
Addr 60   | Hex: 0000FF86 | Flt: 2  Ch: 12 | (No Threshold)                | W_9b: 110000110
Addr 61   | Hex: 0000FF3B | Flt: 2  Ch: 13 | (No Threshold)                | W_9b: 100111011
Addr 62   | Hex: 0000FF95 | Flt: 2  Ch: 14 | (No Threshold)                | W_9b: 110010101
Addr 63   | Hex: 50468063 | Flt: 2  Ch: 15 | Pol: 1 | Pos_Th: 70  | Neg_Th: 80  | W_9b: 001100011
Addr 64   | Hex: 0000FEA8 | Flt: 3  Ch: 0  | (No Threshold)                | W_9b: 010101000
Addr 65   | Hex: 0000FEE3 | Flt: 3  Ch: 1  | (No Threshold)                | W_9b: 011100011
Addr 66   | Hex: 0000FEC8 | Flt: 3  Ch: 2  | (No Threshold)                | W_9b: 011001000
Addr 67   | Hex: 0000FF84 | Flt: 3  Ch: 3  | (No Threshold)                | W_9b: 110000100
Addr 68   | Hex: 0000FF11 | Flt: 3  Ch: 4  | (No Threshold)                | W_9b: 100010001
Addr 69   | Hex: 0000FE0C | Flt: 3  Ch: 5  | (No Threshold)                | W_9b: 000001100
Addr 70   | Hex: 0000FF87 | Flt: 3  Ch: 6  | (No Threshold)                | W_9b: 110000111
Addr 71   | Hex: 0000FEB9 | Flt: 3  Ch: 7  | (No Threshold)                | W_9b: 010111001
Addr 72   | Hex: 0000FF8B | Flt: 3  Ch: 8  | (No Threshold)                | W_9b: 110001011
Addr 73   | Hex: 0000FE6E | Flt: 3  Ch: 9  | (No Threshold)                | W_9b: 001101110
Addr 74   | Hex: 0000FF87 | Flt: 3  Ch: 10 | (No Threshold)                | W_9b: 110000111
Addr 75   | Hex: 0000FF86 | Flt: 3  Ch: 11 | (No Threshold)                | W_9b: 110000110
Addr 76   | Hex: 0000FE63 | Flt: 3  Ch: 12 | (No Threshold)                | W_9b: 001100011
Addr 77   | Hex: 0000FECA | Flt: 3  Ch: 13 | (No Threshold)                | W_9b: 011001010
Addr 78   | Hex: 0000FEFB | Flt: 3  Ch: 14 | (No Threshold)                | W_9b: 011111011
