========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 2580 words (Chuẩn: 16 + 256 + 2304 + 4 = 2580)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 56   | Hex: 0000FF91 | Flt: 2  Ch: 8  | (No Threshold)                | W_9b: 110010001
Addr 57   | Hex: 0000FE90 | Flt: 2  Ch: 9  | (No Threshold)                | W_9b: 010010000
Addr 58   | Hex: 0000FE42 | Flt: 2  Ch: 10 | (No Threshold)                | W_9b: 001000010
Addr 59   | Hex: 0000FE19 | Flt: 2  Ch: 11 | (No Threshold)                | W_9b: 000011001
Addr 60   | Hex: 0000FEB6 | Flt: 2  Ch: 12 | (No Threshold)                | W_9b: 010110110
Addr 61   | Hex: 0000FE20 | Flt: 2  Ch: 13 | (No Threshold)                | W_9b: 000100000
Addr 62   | Hex: 0000FF24 | Flt: 2  Ch: 14 | (No Threshold)                | W_9b: 100100100
Addr 63   | Hex: 52458063 | Flt: 2  Ch: 15 | Pol: 1 | Pos_Th: 69  | Neg_Th: 82  | W_9b: 001100011
Addr 64   | Hex: 0000FF2B | Flt: 3  Ch: 0  | (No Threshold)                | W_9b: 100101011
Addr 65   | Hex: 0000FEDC | Flt: 3  Ch: 1  | (No Threshold)                | W_9b: 011011100
Addr 66   | Hex: 0000FEE5 | Flt: 3  Ch: 2  | (No Threshold)                | W_9b: 011100101
Addr 67   | Hex: 0000FF84 | Flt: 3  Ch: 3  | (No Threshold)                | W_9b: 110000100
Addr 68   | Hex: 0000FEF5 | Flt: 3  Ch: 4  | (No Threshold)                | W_9b: 011110101
Addr 69   | Hex: 0000FEE7 | Flt: 3  Ch: 5  | (No Threshold)                | W_9b: 011100111
Addr 70   | Hex: 0000FE81 | Flt: 3  Ch: 6  | (No Threshold)                | W_9b: 010000001
Addr 71   | Hex: 0000FE31 | Flt: 3  Ch: 7  | (No Threshold)                | W_9b: 000110001
Addr 72   | Hex: 0000FFA5 | Flt: 3  Ch: 8  | (No Threshold)                | W_9b: 110100101
Addr 73   | Hex: 0000FF97 | Flt: 3  Ch: 9  | (No Threshold)                | W_9b: 110010111
Addr 74   | Hex: 0000FE64 | Flt: 3  Ch: 10 | (No Threshold)                | W_9b: 001100100
Addr 75   | Hex: 0000FF2B | Flt: 3  Ch: 11 | (No Threshold)                | W_9b: 100101011
Addr 76   | Hex: 0000FE47 | Flt: 3  Ch: 12 | (No Threshold)                | W_9b: 001000111
Addr 77   | Hex: 0000FEDB | Flt: 3  Ch: 13 | (No Threshold)                | W_9b: 011011011
Addr 78   | Hex: 0000FE41 | Flt: 3  Ch: 14 | (No Threshold)                | W_9b: 001000001
Addr 79   | Hex: 50448061 | Flt: 3  Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 80  | W_9b: 001100001
Addr 80   | Hex: 0000FEF8 | Flt: 4  Ch: 0  | (No Threshold)                | W_9b: 011111000
Addr 81   | Hex: 0000FF0F | Flt: 4  Ch: 1  | (No Threshold)                | W_9b: 100001111
Addr 82   | Hex: 0000FE55 | Flt: 4  Ch: 2  | (No Threshold)                | W_9b: 001010101
Addr 83   | Hex: 0000FEBF | Flt: 4  Ch: 3  | (No Threshold)                | W_9b: 010111111
Addr 84   | Hex: 0000FE00 | Flt: 4  Ch: 4  | (No Threshold)                | W_9b: 000000000
Addr 85   | Hex: 0000FF57 | Flt: 4  Ch: 5  | (No Threshold)                | W_9b: 101010111
Addr 86   | Hex: 0000FEC7 | Flt: 4  Ch: 6  | (No Threshold)                | W_9b: 011000111
Addr 87   | Hex: 0000FEF4 | Flt: 4  Ch: 7  | (No Threshold)                | W_9b: 011110100
Addr 88   | Hex: 0000FE43 | Flt: 4  Ch: 8  | (No Threshold)                | W_9b: 001000011
Addr 89   | Hex: 0000FF77 | Flt: 4  Ch: 9  | (No Threshold)                | W_9b: 101110111
Addr 90   | Hex: 0000FE1F | Flt: 4  Ch: 10 | (No Threshold)                | W_9b: 000011111
Addr 91   | Hex: 0000FFC0 | Flt: 4  Ch: 11 | (No Threshold)                | W_9b: 111000000
Addr 92   | Hex: 0000FE3F | Flt: 4  Ch: 12 | (No Threshold)                | W_9b: 000111111
